股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因,投入資金,version,config,price,entry_date,stock,engine,fled_pct,r400_chg,ma20,ma20_gap,big_holder_chg,pnl,ret,price_tier,days_bucket
1210,backup_v4,20230809,55.4,20230920,54.2,42,-2.61%,"NT$-2,174",到期,"NT$83,329",v4,6週+6個持倉_2023年,55.4,20230809,1210,backup_v4,-5.06505001284821,0.0,57.505,-3.660551256412493,0.0,-2174.0,-2.61,50-100,30-42日
2645,backup_v4,20230823,114.5,20230921,106.0,29,-7.87%,"NT$-6,548",停損,"NT$83,245",v4,6週+6個持倉_2023年,114.5,20230823,2645,backup_v4,-15.237618809404701,0.0,110.55,3.5730438715513366,0.0,-6548.0,-7.87,100-200,14-30日
8081,backup_v4,20230816,226.5,20230927,265.0,42,+16.56%,"NT$+13,781",到期,"NT$83,244",v4,6週+6個持倉_2023年,226.5,20230816,8081,backup_v4,-5.36972352140193,0.0,213.0,6.338028169014084,0.0,13781.0,16.56,200-300,30-42日
5469,backup_v4,20230823,54.6,20231004,59.2,42,+7.98%,"NT$+6,652",到期,"NT$83,329",v4,6週+6個持倉_2023年,54.6,20230823,5469,backup_v4,-6.227439471753485,0.0,51.02,7.016856134849076,0.0,6652.0,7.98,50-100,30-42日
1477,backup_v4,20230830,334.5,20231011,353.5,42,+5.24%,"NT$+4,351",到期,"NT$83,074",v4,6週+6個持倉_2023年,334.5,20230830,1477,backup_v4,-7.2157393314166525,0.0,314.2,6.460852959898158,0.0,4351.0,5.24,300-500,30-42日
2385,backup_v4,20230913,114.0,20231025,124.5,42,+8.77%,"NT$+7,297",到期,"NT$83,224",v4,6週+6個持倉_2023年,114.0,20230913,2385,backup_v4,-5.614692891868704,0.0,105.525,8.031272210376681,0.0,7297.0,8.77,100-200,30-42日
3592,main,20230920,358.5,20231101,368.0,42,+2.21%,"NT$+1,839",到期,"NT$83,291",v4,6週+6個持倉_2023年,358.5,20230920,3592,main,0.0,0.0,0.0,0.0,0.0,1839.0,2.21,300-500,30-42日
4967,backup_v4,20231108,92.3,20231201,85.2,23,-8.13%,"NT$-6,775",停損,"NT$83,281",v4,6週+6個持倉_2023年,92.3,20231108,4967,backup_v4,-17.57650264145928,0.0,79.22,16.510982075233525,0.0,-6775.0,-8.13,50-100,14-30日
6533,main,20231101,389.5,20231213,481.0,42,+23.05%,"NT$+19,150",到期,"NT$83,082",v4,6週+6個持倉_2023年,389.5,20231101,6533,main,0.0,0.0,0.0,0.0,0.0,19150.0,23.05,300-500,30-42日
6789,main,20231206,305.0,20231219,277.5,13,-9.46%,"NT$-7,858",停損,"NT$83,078",v4,6週+6個持倉_2023年,305.0,20231206,6789,main,0.0,0.0,0.0,0.0,0.0,-7858.0,-9.46,300-500,7-14日
2230,backup_v4,20231108,125.0,20231220,172.5,42,+37.56%,"NT$+31,264",到期,"NT$83,243",v4,6週+6個持倉_2023年,125.0,20231108,2230,backup_v4,-14.274570982839313,0.0,118.1,5.842506350550386,0.0,31264.0,37.56,100-200,30-42日
2347,backup_v4,20231108,68.8,20231220,68.6,42,-0.73%,NT$-611,到期,"NT$83,298",v4,6週+6個持倉_2023年,68.8,20231108,2347,backup_v4,-5.911713618304151,0.0,67.85,1.4001473839351555,0.0,-611.0,-0.73,50-100,30-42日
2388,backup_v4,20231108,129.0,20231220,151.5,42,+17.00%,"NT$+14,164",到期,"NT$83,324",v4,6週+6個持倉_2023年,129.0,20231108,2388,backup_v4,-11.505027440612107,0.0,124.325,3.7603056505127666,0.0,14164.0,17.0,100-200,30-42日
3532,backup_v4,20231108,156.5,20231220,184.0,42,+17.13%,"NT$+14,255",到期,"NT$83,220",v4,6週+6個持倉_2023年,156.5,20231108,3532,backup_v4,-5.80817730225449,0.0,154.725,1.147196639198582,0.0,14255.0,17.13,100-200,30-42日
3443,main,20221207,742.0,20221228,636.0,21,-14.73%,"NT$-12,257",停損,"NT$83,222",v4,6週+6個持倉_全週期,742.0,20221207,3443,main,0.0,0.0,0.0,0.0,0.0,-12257.0,-14.73,500+,14-30日
1736,backup_v4,20221221,74.9,20221229,69.5,8,-7.65%,"NT$-6,377",停損,"NT$83,332",v4,6週+6個持倉_全週期,74.9,20221221,1736,backup_v4,-5.200394512687169,0.0,78.76,-4.900964956830878,0.0,-6377.0,-7.65,50-100,7-14日
2707,backup_v4,20221221,253.0,20230106,233.0,16,-8.35%,"NT$-6,937",停損,"NT$83,102",v4,6週+6個持倉_全週期,253.0,20221221,2707,backup_v4,-10.354007770902287,0.0,243.6,3.858784893267654,0.0,-6937.0,-8.35,200-300,14-30日
6472,main,20221207,400.0,20230118,402.0,42,+0.06%,NT$+48,到期,"NT$83,319",v4,6週+6個持倉_全週期,400.0,20221207,6472,main,0.0,0.0,0.0,0.0,0.0,48.0,0.06,300-500,30-42日
1477,backup_v4,20221221,240.0,20230131,218.0,41,-9.61%,"NT$-7,991",停損,"NT$83,158",v4,6週+6個持倉_全週期,240.0,20221221,1477,backup_v4,-5.958419263140293,0.0,235.325,1.9866142568787895,0.0,-7991.0,-9.61,200-300,30-42日
2338,backup_v4,20221221,85.7,20230201,91.0,42,+5.74%,"NT$+4,780",到期,"NT$83,247",v4,6週+6個持倉_全週期,85.7,20221221,2338,backup_v4,-7.755171372489808,0.0,89.445,-4.186930515959518,0.0,4780.0,5.74,50-100,30-42日
4915,backup_v4,20230111,56.7,20230222,58.1,42,+2.03%,"NT$+1,688",到期,"NT$83,297",v4,6週+6個持倉_全週期,56.7,20230111,4915,backup_v4,-5.493226079593565,0.0,56.32,0.6747159090909136,0.0,1688.0,2.03,50-100,30-42日
6585,backup_v4,20230111,54.2,20230222,66.5,42,+22.25%,"NT$+18,539",到期,"NT$83,316",v4,6週+6個持倉_全週期,54.2,20230111,6585,backup_v4,-10.04062681369704,0.0,54.85,-1.1850501367365516,0.0,18539.0,22.25,50-100,30-42日
2207,backup_v4,20230208,642.0,20230316,595.0,36,-7.76%,"NT$-6,439",停損,"NT$82,936",v4,6週+6個持倉_全週期,642.0,20230208,2207,backup_v4,-8.575096277278563,0.0,629.7,1.9533111005240518,0.0,-6439.0,-7.76,500+,30-42日
2066,backup_v4,20230308,90.0,20230316,83.5,8,-7.66%,"NT$-6,383",停損,"NT$83,279",v4,6週+6個持倉_全週期,90.0,20230308,2066,backup_v4,-7.217847769028872,0.0,86.385,4.184754297621109,0.0,-6383.0,-7.66,50-100,7-14日
2230,backup_v4,20230208,53.5,20230322,79.0,42,+47.22%,"NT$+39,340",到期,"NT$83,311",v4,6週+6個持倉_全週期,53.5,20230208,2230,backup_v4,-15.753424657534246,0.0,43.9125,21.833191004839165,0.0,39340.0,47.22,50-100,30-42日
2303,backup_v4,20230208,50.5,20230322,53.5,42,+5.50%,"NT$+4,579",到期,"NT$83,292",v4,6週+6個持倉_全週期,50.5,20230208,2303,backup_v4,-6.184454696897463,0.0,45.945,9.914027641745566,0.0,4579.0,5.5,50-100,30-42日
6719,main,20230322,332.0,20230328,307.5,6,-7.82%,"NT$-6,502",停損,"NT$83,118",v4,6週+6個持倉_全週期,332.0,20230322,6719,main,0.0,0.0,0.0,0.0,0.0,-6502.0,-7.82,300-500,<7日
2474,backup_v4,20230308,187.5,20230419,182.5,42,-3.11%,"NT$-2,586",到期,"NT$83,181",v4,6週+6個持倉_全週期,187.5,20230308,2474,backup_v4,-5.166232073011734,0.0,187.8,-0.15974440894569295,0.0,-2586.0,-3.11,100-200,30-42日
3680,main,20230329,366.0,20230421,339.0,23,-7.82%,"NT$-6,506",停損,"NT$83,200",v4,6週+6個持倉_全週期,366.0,20230329,3680,main,0.0,0.0,0.0,0.0,0.0,-6506.0,-7.82,300-500,14-30日
4763,main,20230419,480.0,20230421,435.0,2,-9.82%,"NT$-8,164",停損,"NT$83,158",v4,6週+6個持倉_全週期,480.0,20230419,4763,main,0.0,0.0,0.0,0.0,0.0,-8164.0,-9.82,300-500,<7日
3044,backup_v4,20230426,113.5,20230607,127.0,42,+11.45%,"NT$+9,541",到期,"NT$83,314",v4,6週+6個持倉_全週期,113.5,20230426,3044,backup_v4,-5.176528177201249,0.0,114.1,-0.52585451358457,0.0,9541.0,11.45,100-200,30-42日
3310,backup_v4,20230426,66.9,20230607,78.1,42,+16.30%,"NT$+13,573",到期,"NT$83,275",v4,6週+6個持倉_全週期,66.9,20230426,3310,backup_v4,-6.6277836691410394,0.0,67.2,-0.4464285714285672,0.0,13573.0,16.3,50-100,30-42日
3324,backup_v4,20230426,229.0,20230607,295.0,42,+28.38%,"NT$+23,624",到期,"NT$83,245",v4,6週+6個持倉_全週期,229.0,20230426,3324,backup_v4,-11.689834198626697,0.0,234.45,-2.3245894647046232,0.0,23624.0,28.38,200-300,30-42日
3587,backup_v4,20230426,182.0,20230607,231.5,42,+26.76%,"NT$+22,285",到期,"NT$83,293",v4,6週+6個持倉_全週期,182.0,20230426,3587,backup_v4,-5.261336102457598,0.0,191.75,-5.084745762711865,0.0,22285.0,26.76,100-200,30-42日
3693,backup_v4,20230426,178.5,20230607,245.5,42,+37.09%,"NT$+30,898",到期,"NT$83,300",v4,6週+6個持倉_全週期,178.5,20230426,3693,backup_v4,-32.184191085939425,0.0,163.225,9.358247817429932,0.0,30898.0,37.09,100-200,30-42日
1580,backup_v4,20230607,134.5,20230609,124.5,2,-7.88%,"NT$-6,557",停損,"NT$83,239",v4,6週+6個持倉_全週期,134.5,20230607,1580,backup_v4,-5.374177079134757,0.0,129.225,4.082027471464505,0.0,-6557.0,-7.88,100-200,<7日
3444,backup_v4,20230607,76.9,20230612,71.5,5,-7.46%,"NT$-6,220",停損,"NT$83,324",v4,6週+6個持倉_全週期,76.9,20230607,3444,backup_v4,-23.324525582512614,0.0,71.415,7.680459287264579,0.0,-6220.0,-7.46,50-100,<7日
2408,backup_v4,20230614,76.2,20230627,70.8,13,-7.53%,"NT$-6,274",停損,"NT$83,329",v4,6週+6個持倉_全週期,76.2,20230614,2408,backup_v4,-5.283765303464444,0.0,71.805,6.120743680802167,0.0,-6274.0,-7.53,50-100,7-14日
2743,backup_v4,20230607,160.5,20230712,136.5,35,-15.40%,"NT$-12,818",停損,"NT$83,257",v4,6週+6個持倉_全週期,160.5,20230607,2743,backup_v4,-38.82091212458287,0.0,117.565,36.52022285544167,0.0,-12818.0,-15.4,100-200,30-42日
3008,backup_v4,20230607,2245.0,20230719,2270.0,42,+0.67%,NT$+558,到期,"NT$83,183",v4,6週+6個持倉_全週期,2245.0,20230607,3008,backup_v4,-6.462847807089755,0.0,2219.5,1.1489074115791844,0.0,558.0,0.67,500+,30-42日
3014,backup_v4,20230607,115.0,20230719,127.0,42,+9.99%,"NT$+8,320",到期,"NT$83,263",v4,6週+6個持倉_全週期,115.0,20230607,3014,backup_v4,-8.175464814733418,0.0,108.615,5.878561892924555,0.0,8320.0,9.99,100-200,30-42日
3406,backup_v4,20230607,389.5,20230719,403.0,42,+3.02%,"NT$+2,512",到期,"NT$83,082",v4,6週+6個持倉_全週期,389.5,20230607,3406,backup_v4,-10.371917573339152,0.0,395.175,-1.436072626051752,0.0,2512.0,3.02,300-500,30-42日
2308,backup_v4,20230614,353.0,20230726,360.5,42,+1.68%,"NT$+1,397",到期,"NT$83,073",v4,6週+6個持倉_全週期,353.0,20230614,2308,backup_v4,-5.245006321112515,0.0,318.675,10.771161842002035,0.0,1397.0,1.68,300-500,30-42日
