engine,stock,buy_date,exit_date,entry_price,exit_price,days_held,gross_return_pct,net_return_pct,pnl_twd,exit_reason
backup,6548,20260130,20260203,58.0,53.2,4,-8.275862068965512,-7.4425,-6199,stop_loss
main,4953,20260128,20260204,128.0,119.0,7,-7.03125,-7.4425,-6201,stop_loss
main,8436,20260202,20260206,152.5,141.5,4,-7.213114754098362,-7.4425,-6194,stop_loss
backup,6291,20260204,20260206,236.5,213.0,2,-9.936575052854122,-7.4425,-6187,stop_loss
main,6239,20260121,20260306,239.5,225.0,44,-6.05427974947808,-6.49677974947808,-5407,hold_period
main,6217,20260130,20260306,59.5,111.0,open,86.5546218487395,86.1121218487395,71731,data_end
backup,4987,20260204,20260306,80.3,80.8,open,0.6226650062266501,0.1801650062266501,150,data_end
main,6651,20260223,20260306,98.0,101.0,open,3.061224489795918,2.6187244897959183,2182,data_end
backup,4577,20260306,20260306,93.5,93.5,open,0.0,-0.4425,-368,data_end
main,4989,20260306,20260306,68.2,68.2,open,0.0,-0.4425,-369,data_end
main,6823,20260306,20260306,60.7,60.7,open,0.0,-0.4425,-369,data_end
