engine,stock,entry_date,entry_price,exit_date,exit_price,shares,gross_return_pct,net_return_pct,pnl_twd,exit_reason
Main,8021,20251009,116.0,20251107,128.5,307,10.775862068965516,10.333362068965515,3685,hold_period
Main,6510,20250912,1445.0,20251114,1535.0,17,6.228373702422145,5.785873702422145,1423,trailing_stop
Main,6515,20250919,1845.0,20251114,2195.0,9,18.97018970189702,18.52768970189702,3081,trailing_stop
Main,8047,20251003,22.45,20251114,40.55,1112,80.62360801781736,80.18110801781737,20045,trailing_stop
Main,1612,20251017,38.25,20251114,35.95,932,-6.0130718954248294,-6.455571895424829,-2305,hold_period
Main,3376,20251017,219.5,20251114,204.135,162,-13.439635535307518,-7.4425,-2650,stop_loss
Main,2344,20250919,33.5,20251121,52.2,496,55.82089552238807,55.37839552238807,9215,trailing_stop
Main,3260,20250919,139.0,20251121,173.5,119,24.820143884892087,24.377643884892088,4038,trailing_stop
Main,2408,20250926,71.0,20251121,140.0,319,97.1830985915493,96.7405985915493,21942,trailing_stop
Main,3709,20251017,50.0,20251121,53.1,713,6.200000000000003,5.757500000000003,2055,trailing_stop
Main,2481,20251023,98.0,20251121,91.14,283,-18.469387755102034,-7.4425,-2067,stop_loss
Main,4949,20251023,37.45,20251121,37.65,740,0.5340453938584665,0.0915453938584665,25,hold_period
Main,6139,20251023,420.5,20251121,435.0,65,3.4482758620689653,3.0057758620689654,823,hold_period
Main,8054,20251023,140.5,20251121,130.665,197,-11.032028469750891,-7.4425,-2063,stop_loss
Main,8996,20251023,505.0,20251121,469.65,54,-8.514851485148515,-7.4425,-2032,stop_loss
Main,1316,20251031,15.7,20251128,15.15,1445,-3.5031847133757896,-3.9456847133757895,-896,hold_period
Main,2313,20251031,87.3,20251128,83.3,259,-4.581901489117985,-5.0244014891179845,-1138,hold_period
Main,2481,20251031,84.3,20251128,86.1,269,2.1352313167259753,1.6927313167259754,384,hold_period
Main,3090,20251031,90.2,20251128,88.9,251,-1.441241685144121,-1.883741685144121,-427,hold_period
Main,4949,20251031,36.3,20251128,38.7,625,6.611570247933901,6.1690702479339015,1402,hold_period
Main,6282,20251031,43.6,20251128,40.548,520,-11.697247706422022,-7.4425,-1690,stop_loss
Main,8103,20251031,82.0,20251128,82.0,276,0.0,-0.4425,-100,hold_period
Main,8422,20251031,241.5,20251128,224.595,93,-89.85507246376811,-7.4425,-1674,stop_loss
